Sr. No.,Machine No.,Notification,Read By,Read On,Notification Date
"63","C9026","error resolved, machine resume now","","","29-Nov-2018 10:43:20 AM",
"64","C9025","Pure water tank full machine on pause mode","","","29-Nov-2018 09:45:53 AM",
"65","C9025","error resolved, machine resume now","","","29-Nov-2018 09:32:53 AM",
"66","C9025","machine was inactive due to Pure water tank full machine on pause mode for 0 days, 0 hours, 51 minutes, and 11 seconds and machine active now.","","","29-Nov-2018 09:32:53 AM",
"67","C9026","Pure Water Tank Low","","","29-Nov-2018 09:32:26 AM",
"68","C9026","No raw water supply","","","29-Nov-2018 09:27:23 AM",
"69","C9026","Pure Water Tank Low","","","29-Nov-2018 09:27:14 AM",
"70","C9026","No raw water supply","","","29-Nov-2018 09:22:07 AM",
"71","C9026","Pure Water Tank Low","","","29-Nov-2018 09:21:54 AM",
"72","C9026","Pure Water Tank Low","","","29-Nov-2018 09:16:56 AM",
"73","C9026","No raw water supply","","","29-Nov-2018 09:16:56 AM",
"74","C9026","No raw water supply","","","29-Nov-2018 09:16:54 AM",
"75","C9026","Pure Water Tank Low","","","29-Nov-2018 09:16:39 AM",
"76","C9026","No raw water supply","","","29-Nov-2018 09:11:37 AM",
"77","C9026","Pure Water Tank Low","","","29-Nov-2018 09:11:23 AM",
"78","C9022","error resolved, machine resume now","","","29-Nov-2018 09:11:01 AM",
"79","C9022","machine was inactive due to Solution Inject error for 0 days, 0 hours, 0 minutes, and 0 seconds and machine active now.","","","29-Nov-2018 09:11:01 AM",
"80","C9022","Solution Inject error","","","29-Nov-2018 09:10:57 AM",
"81","C9026","No raw water supply","","","29-Nov-2018 09:06:22 AM",
"82","C9026","Pure Water Tank Low","","","29-Nov-2018 09:06:12 AM",
"83","C9022","Solution Inject error","","","29-Nov-2018 09:05:37 AM",
"84","C9022","error resolved, machine resume now","","","29-Nov-2018 09:05:37 AM",
"85","C9022","machine was inactive due to Solution Inject error for 0 days, 0 hours, 0 minutes, and 0 seconds and machine active now.","","","29-Nov-2018 09:05:37 AM",
"86","C9026","No raw water supply","","","29-Nov-2018 09:01:10 AM",
"87","C9026","Pure Water Tank Low","","","29-Nov-2018 09:00:52 AM",
"88","C9026","No raw water supply","","","29-Nov-2018 08:56:54 AM",
"89","C9026","Pure Water Tank Low","","","29-Nov-2018 08:56:44 AM",
"90","C9026","No raw water supply","","","29-Nov-2018 08:56:44 AM",
"91","C9026","Pure Water Tank Low","","","29-Nov-2018 08:56:41 AM",
"92","C9022","machine was inactive due to Solution Inject error for 0 days, 0 hours, 0 minutes, and 0 seconds and machine active now.","","","29-Nov-2018 08:55:58 AM",
"93","C9022","Solution Inject error","","","29-Nov-2018 08:55:58 AM",
"94","C9022","error resolved, machine resume now","","","29-Nov-2018 08:55:58 AM",
"95","C9026","No raw water supply","","","29-Nov-2018 08:51:43 AM",
"96","C9026","Pure Water Tank Low","","","29-Nov-2018 08:51:27 AM",
"97","C9026","No raw water supply","","","29-Nov-2018 08:51:27 AM",
"98","C9026","Pure Water Tank Low","","","29-Nov-2018 08:51:26 AM",
"99","C9026","No raw water supply","","","29-Nov-2018 08:46:27 AM",
"100","C9026","Pure Water Tank Low","","","29-Nov-2018 08:46:09 AM",
